drug_idx,drug_name,x,y,predicted_target_class
484,fk463,0.43257356,-0.2978681,virus
485,flavoxate,-1.8417094,-0.030981138,fungus
486,flecainide,0.2620585,-0.09595737,virus
487,florbetaben,-2.508536,0.04288669,fungus
488,florbetapir,-1.5201194,0.035876274,bacteria
489,flucloxacillin,-1.0764201,-0.025915101,bacteria
490,fluconazole,0.5408504,-0.23559657,virus
491,fludarabine,0.6840761,-0.17865917,human_cell
492,fludrocortisone,0.057860136,0.16833973,bacteria
493,flumazenil,0.030021906,0.026769951,human_cell
494,flumethasone,-2.2586727,-0.1101118,fungus
495,flunisolide,0.48951936,-0.17494854,virus
496,flunitrazepam,-1.4371216,0.025957152,bacteria
497,fluocinolone,2.5483596,0.16775289,human_cell
498,fluocinonide,-1.2077203,-0.14920625,virus
499,fluorescein,0.14032388,0.057225317,human_cell
500,fluoride,-2.086588,0.24189627,bacteria
501,fluorometholone,-0.48125362,0.33174068,human_cell
502,fluoxetine,5.211545,-0.12657428,human_cell
503,fluoxymesterone,-1.4853652,0.107339025,bacteria
504,fluphenazine,1.444247,-0.08117437,human_cell
505,flurandrenolone,-2.2776086,-0.08245003,fungus
506,flurazepam,-0.66464067,-0.0115876645,virus
507,flurbiprofen,1.7276022,-0.17613003,virus
508,flutamide,-0.22558331,0.12433979,human_cell
509,fluticasone,3.7702048,0.04891923,human_cell
510,fluticasone/salmeterol,-1.1680055,-0.078968376,virus
511,fluvastatin,0.16177917,-0.14847916,virus
512,fluvoxamine,4.0015793,-0.1485149,human_cell
513,folate,-1.7863464,0.16119167,bacteria
514,fondaparinux,0.31286597,0.0059290975,virus
515,formoterol,0.869859,-0.17523474,virus
516,forteo,0.28019404,-0.0885967,virus
517,fosamprenavir,-1.1336589,-0.12107402,fungus
518,fosaprepitant,0.8151777,-0.14257279,virus
519,foscarnet,0.3967402,-0.1533514,virus
520,fosfomycin,-1.2877629,-0.06415489,bacteria
521,fosinopril,2.449321,-0.055705667,human_cell
522,fosinoprilat,0.0103087425,-0.09924105,virus
523,fosphenytoin,0.9880159,-0.16962236,virus
524,fospropofol,-1.7357824,-0.022665977,bacteria
525,fotemustine,-1.8851521,-0.01654163,fungus
526,fp-cit,-2.1524835,0.0058791786,fungus
527,frovatriptan,0.45603538,-0.09189117,human_cell
528,fty720,2.1550786,0.075290695,human_cell
529,furosemide,1.8495038,0.035829112,human_cell
530,fusidic,-0.15447664,0.033984736,bacteria
531,gabapentin,5.199732,-0.07675904,human_cell
532,gadobenate,2.383423,-0.14796993,human_cell
533,gadobutrol,-1.7048948,-0.03347689,fungus
534,gadodiamide,-0.6021774,-0.075962484,virus
535,gadofosveset,1.1786153,0.22431177,human_cell
536,gadolinium,0.8619039,-0.08660999,human_cell
537,gadopentetate,0.067540884,-0.049578384,human_cell
538,gadoteridol,-0.74000025,-0.1122047,virus
539,gadoversetamide,1.1044514,0.039742693,human_cell
